	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italie	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Zoutkamp	ho:\u_Xn@r	mi_~	kAm@rU:\@_Xt	blU:\m:	spIn_=:	mAzin_=:	v\A:\r_Xk / v\A:\k	Up_v	sxIp	kre:\gN_=		brY:\gN_=	tIm@rmA:\n	splInd@r_X	vIN@r	f@brik	fAi_Xr	bAi_Xr / bi:\@_Xr	tv\E:\i_X	drAi_X	hAi_X	stOk	Ik	knE:\i_X	zAi_Xn	kOpstYb@r	pE:\t	pUtstO:\u_Xl	k_ve:\@_Xrl_=	brAi_Xd@	stA:\i_Xn_=:	brAi_Xd@r	brAi_Xst@	stAnbe:\lt	dy:\v@l	ble:\bm_=	me:\st@r	ze:\	xe:\@_Xrn_=	pininh_XA:\ls	stOk	bEz@m		rO:\u_Xpm_=	pe:\@_Xr	rip	xEl_-t	v\it_v	brIN:	vrO_ou_X	s_vv\Em_=:	stA:\k	bE:\@_Xr	UptIln_=	mEtslU:\@_Xr	sprIN_=:	brYx	vU:\@_Xd@r	s_v9:\z	jU:\@_Xr	sxO:\u_Xl	lU:\@_Xtn_=	xU_~:\@_X_~	v\U:\@_Xt@r	pOtn_=	bIn	f2:\l	me:\@_Xt	nOx	kU_o@_Xlt_v	ke:\@_Xs	xEft	lIxt	pe:\@_Xt_v		zv\A:\lfk@s	ke:\s	mo:\t@r	dAG	U:\@_Xbm_=t	jUNkj@		brAi_Xv	hA:\t	spAn_=:	nEi_Xj@	v\U:\@_XgN_=	z2:\n	k2:\nIN	U:\k_v	v\Est	ro:\zn_=	lAN@	v\o:\@_Xt	kin	v\Az	mUxj@	bUs	lEd@r	mUnt_v	dr2:\x	d9:\st	v\EG			xO:\u_Xt	kEl@r	f2:\@_X	mUs	Oz@blO:\u_Xt_v_X	drINkN_=	br9i_Xj@r	m9i_Xt_v	zupm_=	dYn	zy:\@_Xr	pYt	y:\@_Xr	itU:\@_Xlj@	bA:\gN_=	fy:\@_Xr	spEi_Xn_=	dO:\u_Xd_Xn_=	hEbm_=	stYk	brYx	f_vo:\l	kUm_=:	d2:\@_Xr	nA:\i_Xn_=	xrAs	brOu_Xw@r	bAkN_=	du	A:\i_Xj@r	krigN_=	mA:\t	v\Azn_=	f_vi:\f	Ekl_=s	ho:\i_X	Iz	xr2:\n_=	bo:\mk@	v\in	hu:\z	mE:\lk		kO:\u_X	k9st@r	ko:\@_Xr	bu:\gN	mUf_vm_=	blO:\u_X	slU:\@_XgN_=	sjy	lA_r:\f	snE:\i_X	stAt	dO:\u_Xn	d2:\pm_=	d2:\pf_vUnt	sOldU:\@tn_=	d9r_Xsn_=	bin_=:	bUn_=_-:
Sint Annaparochie		mi_~	frInt				v\Erk	Ob	skIp	kre:\G@_~		bO:l			fIN@r		fi:\@_X	bi:\@_Xr	tv\e:\	dri:\j_X@	hEi_X	knEp@l	Ik	kni:\@_X	si:\@_Xn				ke:\rl_=		ste:\n_=:	bre:\d@r			dy:\v@l	ble:\v@n	me:\st@r	se:\	gr{:\G		stOk	be:\z@m		ro:\pm_=	pe:\@_Xr	rip	gElt	fe:\@_X	brIN@		sv\Em@		bE:\d_X			sprIN@		hAi_Xt	sEs	ja:r	sko:\@_Xl	l{:\tn_=	ga_~:\		pOtn_=:\	bIn	f2:\l	ma:\t	nO_ox	kO:\u_Xt	ke:\@_Xz	ge:\ft	lI_rxt	pe:\@_Xd_0	t2:\G@_~		ke:\s		dAG	a:\v@n		sx2:\@_Xr	bri:\@_Xv	hAi_Xt	sla_~_r:\	nEi_Xj@	kAr@	s2:\n	ko:\@_XnIN	Uk	v\e:\st		lAN@	v\o:\@_Xt	ki_~	v\Ar	mAi_Xsi	bUs	lAd@r	mUnd_0	dro:\x	dO:\@_Xst / dOst	dik			gu:\@_Xt	kEld@r	fo:\@_X	mUst		drINk@	bru:\@_Xr	mu:\@_X		dYn	sy:\@_Xr	pYt	y:\@_Xr			fy:\@_Xr		dO:\u_Xw@n	hEv@	stYk	brYx	fU:\@_Xltsi	kUm@	d2:\@_Xr		grAs:\		bAk@	dOu_X	A:\i_Xj@s	krE:\i_Xj@		v\a:\rn_=	fE:\i_Xf		ho:\i_X	Iz	gru:\@_Xn	bo:\mpi	v\in	hyz	mElk	spOi_Xt	ku:\@_X	kOst@r		by:\G@		blO:\u_X	sluG@n	sjY	lAf	sne:\		du:\@_Xn	do:\p@			dO@_Xs@	bin@	
Hallum		mi_~	fr2_~:\@_X_~				v\Yrk	Up	skIp	kriG@_~		bO:\@_Xl@			fIN@r		fjOu_Xw_X@r	bi:\@_Xr	tv\A_+	trE:\i_Xj@	hEi_X	knEp@l	Ik	knIb@l	sju:\@_Xn				kj_XIrl		stjIn_=:	bre:\d@r			dy:\v@l	bl2:\@_Xn	me:\st@r	se:\	grA_+:\		stO:\@_Xk	bi:\@_Xz@m		rUpm_=	pA_+r	rip	jIlt	fi:\@_X	brIN@		swEm@		bE:\@_Xt			sprIN@		hA_+i_Xt	sA_+i_Xz	i:\@_Xr_X	sku_XA_+l@	lItn_=	gI_~:\@_X_~		pOtn_=	bIn	fUl@	mA_+:\t	nO	kO:\@_Xt	kEz	jO:\u_Xt	ljOxt	hind@r	tsjI_~		tsi:s		dA_+i_X	jun		bA_+st	bri:\@_Xf_v	hA_+t	slA_+	nEi_Xj@	kA_+r@	sU_~:\@_~_X	kU:\@_XnIN	Ek	v\Est		lA_+N@	v\Yt	bE_~	v\j_XI	fA_+mk	bUs	ljEd_X@r	mul@	drux	to:\@_Xst	dik		fEsk@	gu:\@_Xt	kEld@r	fu_XA_+	must		drINk@	bru:\@_Xr	v\Yrx		tIn	su:\@_Xr		u:\@_Xr@			fju:\@_Xr		trjo:\w_X@	hA_+	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr		gE:\@_Xs:\		bA_+k@	dU	A_+:\i_Xj@N_X	krE:\i_Xj@		v\i:\@_Xn_=	fi:f		he:\@_X	I	gri:\@_Xn	bjImk@	v\in	hu:\z	mOlk@		ko:\	kOst@r		bu:\G@		blO:\u_X	slA_+i_Xn	sO:\u_Xz	lA_+f	sni:\@_X		dwA_+n	do:\p@			tEski / tEskj@	bin@	
Stiens	hIn_=:\@_~	mi_~	fr2_~:\	blUm_=:\	spIn@	m@sin_=:\	v\Yrk	Up	skIp	kri:\G@_~		bO:\@_Xl@	tIm@rm@n	splInt@r	fIN@r	f@brik	fjOu_Xw_X@r	bi:\@_Xr	tv\A_+	trE:\i_Xj@	hE:\i_X	stO:\@_Xk	Ik	knIb@l	sju:\@_Xn	rE:\@_XG@bOl	pEt	pUd@stu:\@_Xl	ke:\@_Xr@l	bre:\d@	stjIn_=:\	bre:\d@r		stOmbe:\lt	dy:\v@l		me_~:\st@r	se:\	grA_+:\	pinin@ke:\l	stO:\@_Xk	bi:\@_Xz@m	ne:\	rUpm_=	pA_+r	rip	jIlt	fi:\@_X / fi:\@_Xr_X	brIN@	v\iv	sv\Em@	stErk	bE:\@_Xt	UptIln_=:\	mEtsl@r_X	sprIN@	bO:\@_Xl@	hA_+i_Xt	sA_+i_Xz	i:\@_Xr	sku_XA_+l@	lItn_=	ge_~:\@_X_~	v\Et@r	pOtn_=	bIn	fUl@	mA_+:\t	nOx	kO:\@_Xt	kEz	jO:\u_Xt	ljOxt	hind@r	sjI_~	sv\Eltsis	tsi:s	mo:\t@r	dA_+i_X	jun	jUNkj@	bA_+st	bri:\@_Xv	hA_+t	dU		v\A_+i_Xn	sU:\@_~_X	kU:\@_XnIN	Ek	v\Est	ro:\@_Xzn_=	lA_+N@	v\Yt	bEntsi	v\i:\@_X	fA_+mk@	bUs / bUsk_X	ljEd@r	mul@	drux	to:\@_Xst	v\A_+i_X		li:\@_Xtsi	gu:\@_Xt	kEld@r	fu_XA_+	must	Uks@blu:\@_Xt_X_v	drINk@	bru:\@_Xr	v\Ar@_Xx	sup	tIn	su:\@_Xr	pYt	u:\@_Xr@	itA_+:\lj@	bErG@n_X	fju:\@_Xr	sp9y_Xj@	trjo:\u_Xw_X@	hA_+	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr	nA_+:\i_Xj_X@	gE:\@_Xs:\	brO:\u_Xw_X@r		do:\	A_+:\i_Xj_X@N_X	krE:\i_Xj_X@	mErk	v\in_=:\	fi:f		he:\@_X	Iz	gri:\@_Xn	bjE_rmk@	v\in	hu:\z	mOlk@		ko:\	kOst@r	krU:\@_Xd@	bu:\G@	dyts@s	blO:\u_X	slA_+i_Xn	sO:\u_Xz	lA_+f	sni:\@_X	stE:\@_Xt	dv\A_+n	do:\p@	do:\pfUnt	s@ldA_+:\tn_=	tEskj@	bin@	bun
Westergeest		mi_~	fr2_~:\@_X_~				v\Yrk	Ub	skIp	kriG@_~		bO:l@			fIN@r		fjO:\u_Xw@r	bi:\@_Xr	tv\A_+:\	trE_r:\i_Xj@	hi	stOk	Ik	knIb@l	sju:\@_Xn				ke:\@_Xrl_=		stjIn:	bre:\d@r			dy:\v@l	bl2:\@_Xn	me:\st@r	se:\	grA_+:\		stOk	bi:\@_Xz@m		rUpm_=	pA_+r	rip	jIlt	fi:\@_X	brIN@		sv\Em@		bE:\t			sprIN@		hE_r:\i_Xt	sE:\i_Xz	i:\@_X	sku_XA_+l@	lItn_=	ge_~:\@_X_~		pOtn_=	bIn	fUl@	mA_+:\t	nOx	kO:\@_Xt	ke:\@_Xz	jO:\u_Xt	ljOxt	hind@r	tsjI_~		tsi:s		dEi_X	ju:\n		bA_+st	bri:\@_Xv	hA_+t	slA_+	nEi_Xj@	kA_+r@_X	sU_~:\@_X_~	kU:\@_XnIN	Ek	v\Est		lAN@	v\Yt	bEntsi	v\i	fA_+mk@	bUsk	ljEd@r	mul@	drux	tU:\@_Xst	v\E:\i_X		fEsk@	gu:\@_Xt	kEld@r	fu_XA_+	must		drINk@	bru:\@_Xr	v\A_+r@x		tIn	su:\@_Xr	pYt	u:\@_Xr@			fju:\@_Xr		drYk@	hA_+		brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr		gjEs		bA_+k@	du	A_+:\i_Xj@N	kre_o:\i_Xj@		v\i:\@_Xn_=:	fi:f		he:\@_X	Iz	gri:\@_Xn	bjImk@	v\in	hys	mOlk@	sp9:\y_Xt@t	ku	kOst@r		bu:\G@		blO:\u_X	sle:\n	sj2:\	flO:\u_X	sni:\@_X		dv\A_+:\n	do:\p@			tEskj@	bin@	
Grijpskerk		miN_X	kAm@rU:\@_Xt				v\A:\r_Xk	Up_v	sxIp	kre:\gN_=		bro:\d_0			f_vIN@r		fi:\@_X	bi:\@_Xr	tv\e:\	dri	hEi_X	knYp@l	Ik	knE:\i_X	s_vi:\n				ke:\@_Xrl_=		sti:\n_=:	bri:\d@r			dy:\v@l	ble:\bm_=	me_~:\st@r	se:\	xrU:\@_XG		stOk	bEz@m		rupm_=	pe:\@_Xr	rip	xElt	fE:\r	brIN_=:		s_vv\Em_=:		bE:\r@			sprIN_=:		pAp@	zEz	jU:\@_X	sxu:\l	lU:\@_Xtn_=	xU_~:\@_X_~		pOtn_=	bIn	f2:\l	me:\@_Xt	nOx	kO:\l_-t	ke:\@_Xs	xEft	lI:\x_v_+t	pe:\@_Xt	te:\gN_=		ke:\s		dAG	U:\@_Xbm_=t		bAst	bri:\v	hA:\t	spA_~	nE:\i_Xj@	kAr	z2_~:\	k2:\nIN	Uk	v\Est		lAN@	v\o:\@_Xt	ki:\nt_vj@	v\Az	v\IGj@ / mEi_Xsk@	bUs	lEd@r	mUnt	dr2:\x	dYst	v\E:\G		lit_vj@	xut	kEl@r	f2:\@_X	mUs		drINkN_=	bru:\@_Xr	mu:\d@		dYn	zy:\@_Xr	pYt_v	y:\@_Xr			fy:\@_Xr		dO:\u_Xd_Xn_= / drYkN_=	hE	stYk	brYG	fo:\l	kUm_=:	d2:\@_Xr		xrAs		bAk@	j@	E:\i_Xj@n	krigN_=		v\U:\@_Xrn_=	fi:f		ho:\i_X	Iz	xru:\n	bo:\mk@	v\in	hyz	mElk	sp9y_Xt	ku	kOst@r		by:\gN_=		blOu_X	slU:\@_XgN_=	sjy		snEi_X		du:\n	d2:\pm_=			d9@_Xsn	bin_=:	
Sexbierum	hIn_=:	mi_~	fr2:\@_X	blUm_=:	spIn@	m@sin_=:	v\Yrk	Up	skIp	kri:G@_~		bO:\@_Xl@	tIm@rmOn	splInt@r	fIN@r	f@brik	fjOu_Xw@r	bi:\@_Xr	twA:	trEi_Xj@	hEi_X	knEp@l	Ik	knIb@l	sju@_Xn	re:\@_XG@bOl	pEt	pUd@stu:\@_Xl / pAd@stu:\@_Xl	kjIrl	bre:d@	stjIn_=:	bre:\d@r	bre:st@	stO_ombe:lt_X / stA_+nt_v_Xbe:lt	dy:v@l	bl2:@_Xn	me:i_Xst@r	se:	grA:x_X	pinin@ke:l	stO:\@_Xk	bi:\@_Xz@m		rUpm_=_X	pAr_+	rip	jIlt	fi:\@_Xr	brIN@	frOu_X	swEm@	stErk	bE:\@_Xt	UptIln_=_X		sprIN@		hA_+i_Xt	sA_+i_Xz	ji@_X	sku_XAl@	lItn_=_X	ge:\@_X_~	v\Et@r	pOtn_=_X	bIn	fUl@	mA:@_Xt	nOx	kO:\@_Xt	kEs	jOu_Xt	ljOxt	hind@r		swEln_X_=	tsi:s	mot@r	dA_+i_X	jun	jUNki_X	bA_+st / sku_Xor	bri:\@_Xf_v	hA_+t	slA_~_+:	nEi_Xj@	kA_+r@	sU:\@_Xn	ko:\nIN	E_rk	v\Est	ro:\@_Xzn_X_=	grUt@	v\Yt	bEntsi_X	v\i	fA_+mk@	bUsk	ljEd@r	mul@	drux_v	to:\@_Xst	dik		fEsk@	gu:\@_Xt	kEld@r	fu_XA_+	must	Uks@blu:\@_Xt_v	drINk@	bru:\@_Xr	v\Yrx	sup@	tIn	su:r		u:r@	itA_+:lj@	bErg@n / bErG@n	fju:r	sp9i_Xj@	drYk@_Xn_X	hE	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr	nA:\@_Xij@	gE:\@_Xs	brOu_Xw@r	bA_+k@	do	A:\@_Xj@n / O:\@_Xij@n	krEi_Xj@	mErk	v\jIn_X_=:	fi:f	Ek@ls	he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:z	mOlk@	sp9i_Xt@t	kOu_X	kOst@r	kro:\@_Xd@	bu:G@	dyts@s	blOu_X	slA_+i_Xnt_X	sjy		sni:\@_X	stE:\@_Xt	dwA_+n	do:p@	do:pfUnt	sOldA_+:tn_X_=	tEskj@	bin@	bun
Tietjerk		mi_~	fr2_~:\@_X_~				v\Yrk	Up	skIp	kriG@_~		bO:l@			fIN@r		fjO:\u_Xw@r	bi:\@_Xr	tv\A_+	trE:\i_Xj@	hi	knEp@l	Ik	knIb@l	sju:\@_Xn				ke:\@_Xrl_=		stjIn_=:	bre:\d@r			dy:\v@l	bl2:\@_Xn	me:\st@r	se:\	grA_+:\G_X		stO:\@_Xk	bi:\@_Xz@m		rUpm_=	pA_+r	rip	jIlt	fi:\@_X	brIN@		sv\Em@ / sv\Em@n		bE:\@_Xd_0 / bE:\@_Xt			sprIN@		hE:\i_Xt	sE:\i_Xz	i:\@_X	sku_XA_+l@	lItn_=	ge_~:\@_X_~		pOtn_=	bIn	fUl@	mA_+:\t	nOx	kO:\@_Xt	kEs	jO:\u_Xt	ljOxt	hind@r	sjI_~		tsi:\s		dEi_X	jun		sku_XUr	bri:\@_Xv	hA_+t	slA_+G@ / slA_+	nE:\i_Xj@	kA_+r@	sU:\@_Xn	kU:\@_XnIN	Ek	v\Est		lA_+N@	v\Yt	bEntsi	v\i:\@_X	fA_+Nk@	bUsk_X	ljEd@r	mul@	drux	tU:\@_Xst	dik			xu:\@_Xt	kEld@r	fu_XA_+	must		drINk@	bru:\@_Xr	v\A_+r@x		tIn	su:\@_Xr	pYt	u:\@_Xr@			fju:\@_Xr		trjo:\w@n	hA_+	stIk	brE:\G@	fO:l@	kUm@	do:\@_Xr		gEs		bA_+k@	do:\	A_+:\i_Xj@N_X	krE:\i_Xj@		v\i:\@_Xn_=	fi:f		he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:\z	mOlk@	sp9:\y_Xt@t	ko:\	kOst@r		bu:\G@		blO:\u_X	slE:\i_Xn	sj2:\y_X	flO:\u_X	sni:\@_X		dv\A_+:\n	do:\p@			tEskj@	bin@	
Veenwouden		mi_~	fr2_~:\@_X_~				v\Yrk	Up	skIp	kriG@_~		bO_r:l@			fIN@r		fjO:\u_Xw@r	bi:\@_Xr	tv\A_+	trEi_Xj@	hi	knEp@l	Ik	knIb@l	sju:\@_Xn				ke:\rl_=		stjIn_=:	bre:\d@r			dy:\v@l	bl2:\@_Xn	me_~:\st@r	se:\	grA:\		stOk / stO:k / stU_o:\@_Xk	bi:\@_Xz@m		rUpm_=	pAr	rip	jIlt	fi:\@_X	brIN@		sv\Em@		bE:\t			sprIN@		hEi_Xt	sE:\i_Xz	i:\@_X	sku_XAl@	lItn_=	ge_~:\@_X_~		pOtn_=	bIn	fUl@	mA:\t	nOx	kO:\@_Xt / kU:\@_Xt	kEs_v	jOu_Xt	ljOxt	hind@r	tsjI_~ / tjI_~		tsi:s		dEi_X	ju:\n / ju_o:\n		sku_XUr	bri:\@_Xv	hAt	spOn@	ne:\j@ / nE_ri_Xj@	v\e:\n / v\E_r:\i_Xn	sU_~:\@_~_X	kU:\@_XnIN	Ek	v\Est		lAN@	v\Yt	bEntsi	v\i	fAmkI	bUs / bUsk_X	ljEd@r / lEi_Xd@r	mul@	drux	tU:\@_Xst	v\Ei_X			gu:\@_Xt	kEld@r	fu_XA	must		drINk@	bru:\@_Xr	v\Ar@x		tIn	su:\@_Xr		u:\@_Xr@			fju:\@_Xr		drYk@ / try:\w@n / trjo:\w@n	hA	stIk	brE:\@_XG@	fO_r:\@_Xl@	kUm@	do:\@_Xr		gjEs		bAk@	du	A:\i_Xj@N	krE:\i_Xj@		v\i:\@_Xn_=	fi:f		he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\In	hu:\z	mO:\@_Xlk@	sp2:\y_Xt@t	ko:\	kOst@r		bu:\G@				sj2:\ / sjy	flO_o:\u_X / flO:\u_X	sni:\@_X		dv\An	do:\p@			tEskj@	bin@	
Bergum	hIn_=:	mi_~	fr2_~:\@_X_~	blUm_=:	spIn@	m@sj_Xin@s	v\Yrk	Up	skIp	kriG@_~		bO:\l@ / bO:\@_Xl@	tIm@rmOn	splInt@r	fIN@r	f@brik	fjOu_Xw@r	bi:\@_Xr	tv\A:\	trEi_Xj@	hi	knEp@l	Ik	knIb@l	sju:\@_Xn	rE:\@_XG@bOl	pEt	pUd@stu:\@l_=:\	ki_XIrl_=	bre:\d@	stjIn_=:	bre:\d@r	bre:\st@	stOnd_Xbe:\lt	dy:\v@l		me_~:\st@r	se:\	xrA:\G_X	pinin@ke:\l / pin@ke:\l	stO:k	bi:\@_Xz@m	ne:\	rUpm_=	pAr	rip	jIlt	fi:\@_X	brIN@	frOu_X	sv\Im@	stErk	bE:t	UptIln_=	mItsl@r	sprIN@	bo_o:\@_Xl@	hEi_Xt	sEi_Xz	i:\@_X / i:\@_Xr_X	sku_XAl@	lItn_=	gI_~:\@_X_~	v\Et@r	pOtn_=	bIn	fUl@	mA:\t	nOx_X	kO_r:\@_Xt	kEs	jOu_Xt	ljOxt	hind@r	tjI_~ / tsjI_~	sv\Eltsis	tsi:s	mU_r:\t@r / mU_r:\t@rfits	dE:\i_X	ju_o:\n	jUNkj@	bAst	bri:\@_Xv	hAt	slA	nEi_Xj@	kAr@	sU_~:\@_~_X	kU:\@_XnIN	Ek	v\Est	ro:\@zn_=	lAN@	v\Yt	bEntsi	v\i:\@_X	fAmk@	bUs / bUsk_X	lE:\i_Xd@r	mul@	drux	tU:\@_Xst	v\Ei_X		li:\@_Xtsi	gu:\@_Xt	kEld@r	fu_XA	must	Uks@blu:\@_Xt_v	drINk@	bru:\@_Xr	v\Ar@x	sup	tIn	su:\@_Xr		u:\@_Xr@	itA:\lij@	bErG@n	fju:\@_Xr	sp9:\y_Xj@	try:\w@	hA	stIk	brE:\@_XG@	fO:l@	kUm@	dU:\@_Xr	nA:\i_Xj@	gE:s:\	brO:\u_Xw@r	bAk@	du	A:\i_Xj@N	krE:\i_Xj@	mErk	v\i:\@_Xn_=:	fi:f	i:k@ls	he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:z	mO:\lk@	sp9:\y_Xt@t	ko:\	kOst@r	krU:\@_Xd@	bu:\xt	dyts@r_Xs	blO:\u_X	slEi_Xn	sO:\u_Xz	flO:\u_X	sni:\@_X	stE:t	dv\A:\n	do:\p@	do:\pfUnt	s@ldA:\tn_=	tEskj@	bin@	bo_r:n
Surhuisterveen	hIn_=:	mi_~	mA:\t	blUm_=:	spIn@	m@sin@	v\Yrk	Ub	skIp	kriG@_~		bO:\@_Xl@	tIm@rmOn	splInt@r	fIN@r	f@brik	fjO:\u_Xw@r	bi:\@_Xr	tv\A	trEi_Xj@	hi	knEp@l	Ik	knIb@l	sju:\@_Xn	rE:\@_XG@bOl / rE:\@_Xg@bOl	pEt	pUd@stu:\@_Xl	ke:\@_Xrl_=	bre:\d@	stjIn_=:	bre:\d@r	bre:\st@	stOnt_vbe:\lt_v_X	dy:\v@l	blA:\u_Xn	me:\st@r	se:\	grA:\	pinin@hOls	stOk	bi:\@_Xz@m		rUpm_=	pAr	rip	jIlt	fi:\@_X	brIN@	frO:\u_X	sv\Em@	stErk	bE:\@_Xt	UptIln_=	mItsl@r	sprIN@	bO:\@_Xl@	hEi_Xt	sE:\i_Xz	i:\@_X	sku_XAl@	lItn_=	ge_~:\@_X_~	v\Et@r	pOtn_=	bIn	fUl@	mA:\t	nOx	kO:\@_Xt	ke:\@_Xz	jO:\u_Xt	ljOxt	hind@r	tsjI_~	sv\Eln_= / sv\Eltsis	tsi:s	mo:\t@r	dE:\i_X	jo:\n	jUNkj@	bAst	bri:\@_Xv	hAt	spO_~	ne:\j@	kAr@	sU_~:\@_~_X	kU:\@_XnIN	Ek	v\Est	ro:\@_Xzn_=	lAN@	v\Yt	bEntsi	v\i:\	fAmk@	bUs	lEi_Xd@r	mul@	drux	tU:\@_Xst	vE:\i_X		fEsk@	gu:\@_Xt	kEld@r	fu_XA	must	Uks@blu:\@_Xt_v	drINk@	bru:\@_Xr	v\Ar@x	sup@	tIn	su:\@_Xr	pYt	u:\@_Xr	itA:\lij@	bErG@n	fju:\@_Xr	sp2:\i_Xj@	drYk@	hA	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	dU:\@_Xr	nA:\i_Xj@	gjEs:\	brO:\u_Xw@r		du	A:\i_Xj@N	kre:\j@	mArk@	v\i:\@_Xn_=:	fi:f	i:\k@ls	he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:\z	mO:\lk@	sp2:\y_Xt@t	ku	kOst@r	krU:\@_Xd@	bu:\G@	dyts@r_Xs	blO:\u_X	sle:\n	sjy	flO:\u_X	sni:\@_X	stEt	dvA:\n	do:\p@	do:\pfUnt	s@ldA:\tn_=	tEskj@	bin@	bo:\n
Spannum		mi_~	fr2:\@_Xn				v\Yrk	Up	skIp	kriG@_~		bO_o:\@_Xl@			fIN@r		fjOu_Xw@r	bi:\@_Xr	tv\A_+	trEi@_X	hEi_X	knEp@_Xl	Ik	knIb@l	sju:\@_Xn				ke:\@_Xrl_=		stjIn_=:	bre:d@r			dy:v@l	bl2:\@_Xn	me:st@r	se:	grA_+:x_v		stOk	bi:\@_Xz@m		rUpm_=	pA_+r	rip	jIlt	fi:\@_Xr	brIN@		swEm_=:		ledikOnt			sprIN@		hAi_Xt	sAi_Xz	ji:\@_X / ji:\@_Xr_X	sku_XA_+l@	lItn_=	ge:\@_X_~		pOtn_=	bIn	fUl@	mA_+:t	nOx	kO:\@_Xt	kEs	jOu_Xt	ljOxt	hind@r			tsi:s		dE_oi_X	jun		sku_XUr / bA_+st	bri:\@_Xf_v	hA_+t	slA_+:@_X_~	nEi_X@	kA_+r@	so:\@_Xn	ko:\@_Xn@N	Ek	v\Est		lA_+N@	v\Yt	bEntsj@	wjI	fA_+mk@	bUsk	ljEd@r	mul@	drux	to:\@_Xst	v\E_oi_X		li:\@_Xtsj@	gu:\@_Xt	kEld@r	fu_XAr	must		drINk@	bru:\@_Xr	v\Yrx		tIn	su:r	pYt	u:\@_Xr@			fju:\r		trjow@	hEv\@ / hE	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr_X		gE:\@_Xs		bA_+k@	dou_X	A_+:i_Xj@n			v\in_=:	fi:f		he:\@_X	Iz	gri@_Xn	bjEmk@	v\in	hu:z	mOlk@	sp9i_Xt@t	ko:\u_X	kOst@r		buG@		blOu_X	slAi_Xn / slAint	sjy		sni:\@_X		dv\A_+n	do:p@			tEski_X@_X	bin@	
